Date,Station,Activity no,LAT N decimal,LONG E decimal,Stn depth,Gear,Mesh,GO MIK in,GO MIK out,Flow MIK,Time in ,Time bottom ,Time end,Duration min,Sampled depth,SDepthCat,Area (m2),Filtered volume (m3),Minutes to reach 100m,FilteredVolume in 100m with equation,Density Bosa original flow,Density Bosa (#/1000m3),Density Gymno (#/1000m3),Density Liparis (#/1000m3),Density Triglops (#/1000m3),Density Larvae (#/1000m3),n Bosa,n Gymno,n Liparis,n Triglops,nLarvae,bosa_dens_PC_indm-3
2017-08-25,3,11,78.99236667,5.231466667,1050,MIKnet,1500,106331,158603,52272,3:26:18,3:32:15,3:42:02,15.73,36,A,3.141592654,4413.016755,43.33057927,12227.64185,3.625637719,1.308510684,0,0.081781918,0,1.390292602,16,,1,,17,1.462743395
2017-08-25,6,28,78.80006667,6.39495,273.8,MIKnet,1500,311442,381837,70395,22:52:03,23:00:40,23:13:27,21.4,41,A,3.141592654,5943.034788,51.64092664,14559.60842,9.759323657,3.983623619,0,0,0,3.983623619,58,,,,58,4.493626359
2017-08-25,3,10,79.03526667,5.264666667,1050,MIKnet,1500,975589,106331,130741,2:36:24,2:52:45,3:13:04,36.67,98,B,3.141592654,11037.69176,37.48764612,10588.05638,3.170952838,3.305611413,0,0,0,3.305611413,35,,,,35,3.446121079
2017-08-25,6,27,78.84918333,6.344466667,292.6,MIKnet,1500,164321,311442,147121,21:57:54,22:15:09,22:38:13,40.32,99,B,3.141592654,12420.55858,40.64589844,11474.29356,1.85176857,2.004480701,0,0.087151335,0,2.091632036,23,,1,,24,2.040854717
2017-08-26,9,50,78.52787667,6.458115,300,MIKnet,1500,381837,454458,72621,11:04:00,11:12:44,11:23:29,19.48,50,A,3.141592654,6130.962843,38.62675126,10907.70067,22.34559294,12.55993395,0,0.27503505,0,12.834969,137,,3,,140,12.52346342
2017-08-26,12,65,78.09031667,5.62538,337.9,MIKnet,1500,454467,540659,86192,23:09:07,23:22:35,23:38:01,28.9,107,B,3.141592654,7276.682356,26.9137642,7620.919373,0.412275795,0.393653292,0,0,0,0.393653292,3,,,,3,0.491890831
2017-08-27,13,70,77.5352,2.177783333,2985.3,MIKnet,1500,540656,607473,66817,10:41:43,10:49:37,11:00:00,18.28,51,A,3.141592654,5640.965345,36.11165975,10201.94084,0,0,0,0,0,0,,,,,0,0
2017-08-28,15,81,77.0412,4.913766667,1437.8,MIKnet,1500,708869,764429,55560,0:51:27,0:57:07,1:07:08,15.68,30,A,3.141592654,4690.603208,51.52212002,14526.2701,6.608958086,2.134064684,0,0.757248759,0.619567166,3.510880608,31,,11,9,51,2.23529649
2017-08-28,18,94,76.77538333,6.961866667,362.1,MIKnet,1500,826620,876144,49524,13:59:40,14:05:04,14:13:04,13.4,31,A,3.141592654,4181.019317,43.49237261,12273.04268,2.391761253,0.814793875,0,0,0,0.814793875,10,,,,10,0.818779602
2017-08-28,18,93,76.79828333,6.899516667,375.2,MIKnet,1500,764431,826620,62189,13:32:33,13:39:34,13:49:29,16.93,51,A,3.141592654,5250.250592,33.16359838,9374.685342,0.761868397,0.426680988,0,0,0,0.426680988,4,,,,4,0.432233337
2017-08-28,15,80,77.06526667,4.881166667,1429.6,MIKnet,1500,607472,708869,101397,0:06:19,0:19:51,0:38:00,31.68,100,B,3.141592654,8560.350855,31.74364626,8976.232577,1.635446986,1.559674382,0,0.891242504,0.668431878,3.119348764,14,,8,6,28,1.813710707
2017-08-28,20,104,76.49218333,7.651083333,640.8,MIKnet,1500,876140,995559,119419,23:04:36,23:19:45,23:40:51,36.25,100,B,3.141592654,10081.84205,36.25,10240.7605,2.082952687,2.050628955,0,0,0,2.050628955,21,,,,21,2.314391875
